time,atom0_x,atom0_y,atom0_z,atom0_vx,atom0_vy,atom0_vz,atom0_ax,atom0_ay,atom0_az,atom1_x,atom1_y,atom1_z,atom1_vx,atom1_vy,atom1_vz,atom1_ax,atom1_ay,atom1_az,pressure,PE,KE,temperature
2.55e-13,3e-10,0,0,-1.02506e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.48557e-300,8.41924e-278
2.58e-13,3e-10,0,0,-1.03712e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.56757e-300,8.61732e-278
2.61e-13,3e-10,0,0,-1.04918e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.6515e-300,8.82005e-278
2.64e-13,3e-10,0,0,-1.06124e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.73543e-300,9.02278e-278
2.67e-13,3e-10,0,0,-1.0733e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.82129e-300,9.23018e-278
2.7e-13,3e-10,0,0,-1.08536e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,3.90715e-300,9.43757e-278
2.73e-13,3e-10,0,0,-1.09742e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,3.99494e-300,9.64962e-278
2.76e-13,3e-10,0,0,-1.10948e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.08273e-300,9.86168e-278
2.79e-13,3e-10,0,0,-1.12154e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.17245e-300,1.00784e-277
2.82e-13,3e-10,0,0,-1.1336e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.26217e-300,1.02951e-277
2.85e-13,3e-10,0,0,-1.14566e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.35382e-300,1.05165e-277
2.88e-13,3e-10,0,0,-1.15772e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.44547e-300,1.07379e-277
2.91e-13,3e-10,0,0,-1.16978e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.53905e-300,1.09639e-277
2.94e-13,3e-10,0,0,-1.18183e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.63263e-300,1.11899e-277
2.97e-13,3e-10,0,0,-1.19389e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.72814e-300,1.14206e-277
3e-13,3e-10,0,0,-1.20595e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,4.82365e-300,1.16513e-277
3.03e-13,3e-10,0,0,-1.21801e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,4.92108e-300,1.18867e-277
3.06e-13,3e-10,0,0,-1.23007e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.01852e-300,1.2122e-277
3.09e-13,3e-10,0,0,-1.24213e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.11789e-300,1.23621e-277
3.12e-13,3e-10,0,0,-1.25419e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.21726e-300,1.26021e-277
3.15e-13,3e-10,0,0,-1.26625e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.31855e-300,1.28467e-277
3.18e-13,3e-10,0,0,-1.27831e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.41985e-300,1.30914e-277
3.21e-13,3e-10,0,0,-1.29037e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.52308e-300,1.33408e-277
3.24e-13,3e-10,0,0,-1.30243e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.6263e-300,1.35901e-277
3.27e-13,3e-10,0,0,-1.31449e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.73146e-300,1.38441e-277
3.3e-13,3e-10,0,0,-1.32655e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,5.83661e-300,1.40981e-277
3.33e-13,3e-10,0,0,-1.33861e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,5.9437e-300,1.43568e-277
3.36e-13,3e-10,0,0,-1.35067e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.05078e-300,1.46154e-277
3.39e-13,3e-10,0,0,-1.36273e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,6.1598e-300,1.48787e-277
3.42e-13,3e-10,0,0,-1.37479e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-0,0,0,4.01985e-125,0,0,0,-2.66657e-140,6.26881e-300,1.51421e-277
3.45e-13,3e-10,0,0,-1.38685e-137,0,0,-4.01985e-125,0,0,-3e+10,0,0,-1.20595e-139,0,0,4.01985e-125,0,0,3.99986e-156,-2.66657e-140,6.37976e-300,1.541e-277
